chr	nc_accession	gene	gene_id	ccds_id	ccds_status	cds_strand	match_type	aa_length
chr1	NC_000001.11	SSU72	29101	CCDS32.1	Public	-	Identical	-1
chr1	NC_000001.11	SLC35E2A	9906	CCDS33.1	Withdrawn, inconsistent annotation	-		-1
chr1	NC_000001.11	GNB1	2782	CCDS34.1	Public	-	Identical	-1
chr1	NC_000001.11	TMEM52	339456	CCDS35.1	Public	-	Identical	-1
chr1	NC_000001.11	GABRD	2563	CCDS36.1	Public	+	Identical	-1
chr1	NC_000001.11	PRKCZ	5590	CCDS37.1	Public	+	Identical	-1
chr1	NC_000001.11	FAAP20	199990	CCDS38.2	Public	-	Identical	-1
chr1	NC_000001.11	SKI	6497	CCDS39.1	Public	+	Identical	-1
chr1	NC_000001.11	MORN1	79906	CCDS40.1	Public	-	Identical	-1
chr1	NC_000001.11	PEX10	5192	CCDS41.1	Public	-	Identical	-1
chr1	NC_000001.11	PANK4	55229	CCDS42.3	Public	-	Identical	-1
chr1	NC_000001.11	PRXL2B	127281	CCDS44.3	Public	+	Identical	-1
chr1	NC_000001.11	ACTRT2	140625	CCDS45.1	Public	+	Identical	-1
chr1	NC_000001.11	ARHGEF16	27237	CCDS46.2	Public	+	Identical	-1
chr1	NC_000001.11	TPRG1L	127262	CCDS47.1	Public	+	Identical	-1
chr1	NC_000001.11	WRAP73	49856	CCDS48.1	Public	-	Identical	-1
chr1	NC_000001.11	TP73	7161	CCDS49.1	Public	+	Identical	-1
chr1	NC_000001.11	CCDC27	148870	CCDS50.1	Public	+	Identical	-1
chr1	NC_000001.11	LRRC47	57470	CCDS51.1	Public	-	Identical	-1
chr1	NC_000001.11	DFFB	1677	CCDS52.1	Public	+	Identical	-1
chr1	NC_000001.11	C1orf174	339448	CCDS53.1	Public	-	Identical	-1
chr1	NC_000001.11	AJAP1	55966	CCDS54.1	Public	+	Identical	-1
chr1	NC_000001.11	KCNAB2	8514	CCDS55.1	Public	+	Identical	-1
chr1	NC_000001.11	KCNAB2	8514	CCDS56.1	Public	+	Identical	-1
chr1	NC_000001.11	CHD5	26038	CCDS57.1	Public	-	Identical	-1
chr1	NC_000001.11	RPL22	6146	CCDS58.1	Public	-	Identical	-1
chr1	NC_000001.11	RNF207	388591	CCDS59.2	Public	+	Identical	-1
chr1	NC_000001.9	C1orf188	148646	CCDS60.1	Withdrawn	+	Identical	-1
chr1	NC_000001.11	ICMT	23463	CCDS61.1	Public	-	Identical	-1
chr1	NC_000001.8	ICMT	23463	CCDS62.1	Withdrawn	-	Identical	-1
chr1	NC_000001.9	ICMT-DT	148645	CCDS63.1	Withdrawn	+	Identical	-1
chr1	NC_000001.11	GPR153	387509	CCDS64.1	Public	-	Identical	-1
chr1	NC_000001.11	ACOT7	11332	CCDS65.1	Public	-	Identical	-1
chr1	NC_000001.11	ACOT7	11332	CCDS66.1	Public	-	Identical	-1
chr1	NC_000001.11	ACOT7	11332	CCDS67.1	Public	-	Identical	-1
chr1	NC_000001.8	ACOT7	11332	CCDS68.1	Withdrawn	-	Identical	-1
chr1	NC_000001.8	ACOT7	11332	CCDS69.1	Withdrawn	-	Identical	-1
chr1	NC_000001.11	ESPN	83715	CCDS70.1	Public	+	Identical	-1
chr1	NC_000001.11	TNFRSF25	8718	CCDS71.1	Public	-	Identical	-1
chr1	NC_000001.11	TNFRSF25	8718	CCDS72.1	Public	-	Identical	-1
chr1	NC_000001.11	TNFRSF25	8718	CCDS73.1	Public	-	Identical	-1
chr1	NC_000001.11	TNFRSF25	8718	CCDS74.1	Public	-	Identical	-1
chr1	NC_000001.11	TNFRSF25	8718	CCDS75.1	Public	-	Identical	-1
chr1	NC_000001.8	TNFRSF25	8718	CCDS76.1	Withdrawn	-	Identical	-1
chr1	NC_000001.8	TNFRSF25	8718	CCDS77.1	Withdrawn	-	Identical	-1
chr1	NC_000001.8	TNFRSF25	8718	CCDS78.1	Withdrawn	-	Identical	-1
chr1	NC_000001.11	PLEKHG5	57449	CCDS79.1	Public	-	Identical	-1
chr1	NC_000001.11	NOL9	79707	CCDS80.1	Public	-	Identical	-1
chr1	NC_000001.11	TAS1R1	80835	CCDS81.1	Public	+	Identical	-1
chr1	NC_000001.11	TAS1R1	80835	CCDS82.1	Public	+	Identical	-1
chr1	NC_000001.10	TAS1R1	80835	CCDS83.1	Withdrawn	+	Identical	-1
chr1	NC_000001.11	ZBTB48	3104	CCDS84.1	Public	+	Identical	-1
chr1	NC_000001.11	PHF13	148479	CCDS85.1	Public	+	Identical	-1
chr1	NC_000001.11	THAP3	90326	CCDS86.1	Public	+	Identical	-1
chr1	NC_000001.11	DNAJC11	55735	CCDS87.1	Public	-	Identical	-1
chr1	NC_000001.11	VAMP3	9341	CCDS88.1	Public	+	Identical	-1
chr1	NC_000001.11	PER3	8863	CCDS89.1	Public	+	Identical	-1
chr1	NC_000001.11	UTS2	10911	CCDS90.1	Public	-	Identical	-1
chr1	NC_000001.11	UTS2	10911	CCDS91.1	Public	-	Identical	-1
chr1	NC_000001.11	TNFRSF9	3604	CCDS92.1	Public	-	Identical	-1
chr1	NC_000001.11	PARK7	11315	CCDS93.1	Public	+	Identical	-1
chr1	NC_000001.11	ERRFI1	54206	CCDS94.1	Public	-	Identical	-1
chr1	NC_000001.11	RERE	473	CCDS95.1	Public	-	Identical	-1
chr1	NC_000001.8	DKFZp566H0824	54744	CCDS96.1	Withdrawn	-	Identical	-1
chr1	NC_000001.11	ENO1	2023	CCDS97.1	Public	-	Identical	-1
chr1	NC_000001.11	SLC2A7	155184	CCDS98.2	Public	-	Identical	-1
chr1	NC_000001.11	SLC2A5	6518	CCDS99.1	Public	-	Identical	-1
chr1	NC_000001.11	GPR157	80045	CCDS100.2	Public	-	Identical	-1
chr1	NC_000001.11	H6PD	9563	CCDS101.1	Public	+	Identical	-1
chr1	NC_000001.11	SPSB1	80176	CCDS102.1	Public	+	Identical	-1
chr1	NC_000001.11	SLC25A33	84275	CCDS103.1	Public	+	Identical	-1
chr1	NC_000001.11	PIK3CD	5293	CCDS104.1	Public	+	Identical	-1
chr1	NC_000001.11	CLSTN1	22883	CCDS105.1	Public	-	Identical	-1
chr1	NC_000001.11	CTNNBIP1	56998	CCDS106.1	Public	-	Identical	-1
chr1	NC_000001.11	LZIC	84328	CCDS107.1	Public	-	Identical	-1
chr1	NC_000001.11	NMNAT1	64802	CCDS108.1	Public	+	Identical	-1
chr1	NC_000001.11	RBP7	116362	CCDS109.1	Public	+	Identical	-1
chr1	NC_000001.11	UBE4B	10277	CCDS110.1	Public	+	Identical	-1
chr1	NC_000001.11	KIF1B	23095	CCDS111.1	Public	+	Identical	-1
chr1	NC_000001.11	KIF1B	23095	CCDS112.1	Public	+	Identical	-1
chr1	NC_000001.11	PGD	5226	CCDS113.1	Public	+	Identical	-1
chr1	NC_000001.11	CENPS-CORT	100526739	CCDS114.1	Withdrawn	+	Identical	-1
chr1	NC_000001.11	CENPS	378708	CCDS115.1	Withdrawn	+	Identical	-1
chr1	NC_000001.10	CENPS	378708	CCDS116.1	Withdrawn	+	Identical	-1
chr1	NC_000001.11	CORT	1325	CCDS117.2	Public	+	Identical	-1
chr1	NC_000001.11	DFFA	1676	CCDS118.1	Public	-	Identical	-1
chr1	NC_000001.11	DFFA	1676	CCDS119.1	Public	-	Identical	-1
chr1	NC_000001.11	CASZ1	54897	CCDS120.2	Public	-	Identical	-1
chr1	NC_000001.10	CIROZ	148345	CCDS121.1	Withdrawn	-	Identical	-1
chr1	NC_000001.11	TARDBP	23435	CCDS122.1	Public	+	Identical	-1
chr1	NC_000001.11	MASP2	10747	CCDS123.1	Public	-	Identical	-1
chr1	NC_000001.11	MASP2	10747	CCDS124.1	Public	-	Identical	-1
chr1	NC_000001.11	SRM	6723	CCDS125.1	Public	-	Identical	-1
chr1	NC_000001.11	EXOSC10	5394	CCDS126.1	Public	-	Identical	-1
chr1	NC_000001.11	MTOR	2475	CCDS127.1	Public	-	Identical	-1
chr1	NC_000001.11	ANGPTL7	10218	CCDS128.1	Public	+	Identical	-1
chr1	NC_000001.11	UBIAD1	29914	CCDS129.1	Public	+	Identical	-1
chr1	NC_000001.11	FBXO2	26232	CCDS130.1	Public	-	Identical	-1
chr1	NC_000001.11	FBXO44	93611	CCDS131.1	Public	+	Identical	-1
chr1	NC_000001.11	FBXO44	93611	CCDS132.1	Public	+	Identical	-1
chr1	NC_000001.11	FBXO6	26270	CCDS133.1	Public	+	Identical	-1
chr1	NC_000001.11	MAD2L2	10459	CCDS134.1	Public	-	Identical	-1
chr1	NC_000001.11	DRAXIN	374946	CCDS135.1	Public	+	Identical	-1
chr1	NC_000001.11	AGTRAP	57085	CCDS136.1	Public	+	Identical	-1
chr1	NC_000001.11	MTHFR	4524	CCDS137.1	Public	-	Identical	-1
chr1	NC_000001.11	CLCN6	1185	CCDS138.1	Public	+	Identical	-1
chr1	NC_000001.11	NPPA	4878	CCDS139.1	Public	-	Identical	-1
chr1	NC_000001.11	NPPB	4879	CCDS140.1	Public	-	Identical	-1
chr1	NC_000001.11	KIAA2013	90231	CCDS141.1	Public	-	Identical	-1
chr1	NC_000001.11	PLOD1	5351	CCDS142.1	Public	+	Identical	-1
chr1	NC_000001.11	MIIP	60672	CCDS143.1	Public	+	Identical	-1
chr1	NC_000001.11	TNFRSF8	943	CCDS144.1	Public	+	Identical	-1
chr1	NC_000001.11	TNFRSF1B	7133	CCDS145.1	Public	+	Identical	-1
chr1	NC_000001.11	DHRS3	9249	CCDS146.1	Public	-	Identical	-1
chr1	NC_000001.11	CFAP107	93190	CCDS147.1	Public	+	Identical	-1
chr1	NC_000001.11	PRAMEF1	65121	CCDS148.1	Public	+	Identical	-1
chr1	NC_000001.11	PRAMEF2	65122	CCDS149.1	Public	+	Identical	-1
chr1	NC_000001.11	PRDM2	7799	CCDS150.1	Public	+	Identical	-1
chr1	NC_000001.11	PRDM2	7799	CCDS151.1	Withdrawn, inconsistent annotation	+	Partial	-1
chr1	NC_000001.11	KAZN	23254	CCDS152.2	Public	+	Identical	-1
chr1	NC_000001.9	TMEM51-AS1	200197	CCDS153.1	Withdrawn	-	Identical	-1
chr1	NC_000001.11	TMEM51	55092	CCDS154.1	Public	+	Identical	-1
chr1	NC_000001.11	EFHD2	79180	CCDS155.1	Public	+	Identical	-1
chr1	NC_000001.11	CTRC	11330	CCDS156.1	Public	+	Identical	-1
chr1	NC_000001.11	CELA2A	63036	CCDS157.1	Public	+	Identical	-1
chr1	NC_000001.11	CASP9	842	CCDS158.1	Public	-	Identical	-1
chr1	NC_000001.11	CASP9	842	CCDS159.2	Public	-	Identical	-1
chr1	NC_000001.11	AGMAT	79814	CCDS160.1	Public	-	Identical	-1
chr1	NC_000001.11	RSC1A1	6248	CCDS161.1	Under review, withdrawal	+	Identical	-1
chr1	NC_000001.11	SLC25A34	284723	CCDS162.1	Public	+	Identical	-1
chr1	NC_000001.11	FBLIM1	54751	CCDS163.1	Public	+	Identical	-1
chr1	NC_000001.11	SPEN	23013	CCDS164.1	Public	+	Identical	-1
chr1	NC_000001.11	ZBTB17	7709	CCDS165.1	Public	-	Identical	-1
chr1	NC_000001.11	SRARP	149563	CCDS166.1	Public	+	Identical	-1
chr1	NC_000001.11	CLCNKA	1187	CCDS167.1	Public	+	Identical	-1
chr1	NC_000001.11	CLCNKB	1188	CCDS168.1	Public	+	Identical	-1
chr1	NC_000001.11	EPHA2	1969	CCDS169.1	Public	-	Identical	-1
chr1	NC_000001.11	ARHGEF19	128272	CCDS170.1	Public	-	Identical	-1
chr1	NC_000001.11	CPLANE2	79363	CCDS171.1	Public	-	Identical	-1
chr1	NC_000001.11	SPATA21	374955	CCDS172.1	Public	-	Identical	-1
chr1	NC_000001.11	NECAP2	55707	CCDS173.1	Public	+	Identical	-1
chr1	NC_000001.11	MFAP2	4237	CCDS174.1	Public	-	Identical	-1
chr1	NC_000001.11	ATP13A2	23400	CCDS175.1	Public	-	Identical	-1
chr1	NC_000001.11	SDHB	6390	CCDS176.1	Public	-	Identical	-1
chr1	NC_000001.11	PADI2	11240	CCDS177.1	Public	-	Identical	-1
chr1	NC_000001.11	PADI1	29943	CCDS178.1	Public	+	Identical	-1
chr1	NC_000001.11	PADI3	51702	CCDS179.1	Public	+	Identical	-1
chr1	NC_000001.11	PADI4	23569	CCDS180.1	Public	+	Identical	-1
chr1	NC_000001.11	RCC2	55920	CCDS181.1	Public	-	Identical	-1
chr1	NC_000001.11	ARHGEF10L	55160	CCDS182.1	Public	+	Identical	-1
chr1	NC_000001.11	ACTL8	81569	CCDS183.1	Public	+	Identical	-1
chr1	NC_000001.11	IGSF21	84966	CCDS184.1	Public	+	Identical	-1
chr1	NC_000001.11	KLHDC7A	127707	CCDS185.2	Public	+	Identical	-1
chr1	NC_000001.11	PAX7	5081	CCDS186.1	Public	+	Identical	-1
chr1	NC_000001.11	TAS1R2	80834	CCDS187.1	Public	-	Identical	-1
chr1	NC_000001.11	ALDH4A1	8659	CCDS188.1	Public	-	Identical	-1
chr1	NC_000001.11	UBR4	23352	CCDS189.1	Public	-	Identical	-1
chr1	NC_000001.11	EMC1	23065	CCDS190.1	Public	-	Identical	-1
chr1	NC_000001.11	MRTO4	51154	CCDS191.1	Public	+	Identical	-1
chr1	NC_000001.11	AKR7L	246181	CCDS192.2	Withdrawn, inconsistent annotation	-		-1
chr1	NC_000001.11	AKR7A3	22977	CCDS193.1	Public	-	Identical	-1
chr1	NC_000001.11	AKR7A2	8574	CCDS194.1	Public	-	Identical	-1
chr1	NC_000001.11	SLC66A1	54896	CCDS195.2	Public	+	Identical	-1
chr1	NC_000001.11	NBL1	4681	CCDS196.2	Withdrawn	+	Identical	-1
chr1	NC_000001.11	HTR6	3362	CCDS197.1	Public	+	Identical	-1
chr1	NC_000001.11	TMCO4	255104	CCDS198.1	Public	-	Identical	-1
chr1	NC_000001.11	RNF186	54546	CCDS199.1	Public	-	Identical	-1
chr1	NC_000001.11	PLA2G2E	30814	CCDS200.1	Public	-	Identical	-1
chr1	NC_000001.11	PLA2G2A	5320	CCDS201.1	Public	-	Identical	-1
chr1	NC_000001.11	PLA2G5	5322	CCDS202.1	Public	+	Identical	-1
chr1	NC_000001.11	PLA2G2D	26279	CCDS203.1	Public	-	Identical	-1
chr1	NC_000001.11	PLA2G2F	64600	CCDS204.2	Public	+	Identical	-1
chr1	NC_000001.11	UBXN10	127733	CCDS205.1	Public	+	Identical	-1
chr1	NC_000001.8	VWA5B1	127731	CCDS206.1	Withdrawn	+	Identical	-1
chr1	NC_000001.11	CAMK2N1	55450	CCDS207.1	Public	-	Identical	-1
chr1	NC_000001.11	MUL1	79594	CCDS208.1	Public	-	Identical	-1
chr1	NC_000001.11	FAM43B	163933	CCDS209.1	Public	+	Identical	-1
chr1	NC_000001.11	CDA	978	CCDS210.1	Public	+	Identical	-1
chr1	NC_000001.11	PINK1	65018	CCDS211.1	Public	+	Identical	-1
chr1	NC_000001.11	DDOST	1650	CCDS212.2	Public	-	Identical	-1
chr1	NC_000001.11	KIF17	57576	CCDS213.1	Public	-	Identical	-1
chr1	NC_000001.11	EIF4G3	8672	CCDS214.1	Public	-	Identical	-1
chr1	NC_000001.11	ECE1	1889	CCDS215.1	Public	-	Identical	-1
chr1	NC_000001.11	NBPF3	84224	CCDS216.1	Public	+	Identical	-1
chr1	NC_000001.11	ALPL	249	CCDS217.1	Public	+	Identical	-1
chr1	NC_000001.11	RAP1GAP	5909	CCDS218.1	Public	-	Identical	-1
chr1	NC_000001.11	CELA3B	23436	CCDS219.1	Public	+	Identical	-1
chr1	NC_000001.11	CELA3A	10136	CCDS220.1	Public	+	Identical	-1
chr1	NC_000001.11	CDC42	998	CCDS221.1	Public	+	Identical	-1
chr1	NC_000001.11	CDC42	998	CCDS222.1	Public	+	Identical	-1
chr1	NC_000001.11	WNT4	54361	CCDS223.1	Public	-	Identical	-1
chr1	NC_000001.11	ZBTB40	9923	CCDS224.1	Public	+	Identical	-1
chr1	NC_000001.11	EPHA8	2046	CCDS225.1	Public	+	Identical	-1
chr1	NC_000001.11	C1QA	712	CCDS226.1	Public	+	Identical	-1
chr1	NC_000001.11	C1QC	714	CCDS227.1	Public	+	Identical	-1
chr1	NC_000001.11	C1QB	713	CCDS228.1	Withdrawn, inconsistent annotation	+	Partial	-1
chr1	NC_000001.11	EPHB2	2048	CCDS229.2	Public	+	Identical	-1
chr1	NC_000001.11	EPHB2	2048	CCDS230.1	Public	+	Identical	-1
chr1	NC_000001.11	HTR1D	3352	CCDS231.1	Public	-	Identical	-1
chr1	NC_000001.11	HNRNPR	10236	CCDS232.1	Public	-	Identical	-1
chr1	NC_000001.11	ZNF436	80818	CCDS233.1	Public	-	Identical	-1
chr1	NC_000001.10	ZNF436-AS1	148898	CCDS234.1	Withdrawn	+	Identical	-1
chr1	NC_000001.11	ASAP3	55616	CCDS235.1	Public	-	Identical	-1
chr1	NC_000001.11	E2F2	1870	CCDS236.1	Public	-	Identical	-1
chr1	NC_000001.11	ID3	3399	CCDS237.1	Public	-	Identical	-1
chr1	NC_000001.11	RPL11	6135	CCDS238.1	Public	+	Identical	-1
chr1	NC_000001.11	ELOA	6924	CCDS239.3	Public	+	Identical	-1
chr1	NC_000001.11	PITHD1	57095	CCDS240.1	Public	+	Identical	-1
chr1	NC_000001.11	LYPLA2	11313	CCDS241.1	Public	+	Identical	-1
chr1	NC_000001.11	GALE	2582	CCDS242.1	Public	-	Identical	-1
chr1	NC_000001.11	HMGCL	3155	CCDS243.1	Public	-	Identical	-1
chr1	NC_000001.11	FUCA1	2517	CCDS244.2	Public	-	Identical	-1
chr1	NC_000001.11	CNR2	1269	CCDS245.1	Public	-	Identical	-1
chr1	NC_000001.11	PNRC2	55629	CCDS246.1	Public	+	Identical	-1
chr1	NC_000001.11	IL22RA1	58985	CCDS247.1	Public	-	Identical	-1
chr1	NC_000001.11	IFNLR1	163702	CCDS248.1	Public	-	Identical	-1
chr1	NC_000001.11	IFNLR1	163702	CCDS249.1	Public	-	Identical	-1
chr1	NC_000001.11	IFNLR1	163702	CCDS250.1	Public	-	Identical	-1
chr1	NC_000001.11	GRHL3	57822	CCDS251.1	Public	+	Identical	-1
chr1	NC_000001.11	GRHL3	57822	CCDS252.2	Public	+	Identical	-1
chr1	NC_000001.11	STPG1	90529	CCDS253.1	Public	-	Identical	-1
chr1	NC_000001.11	RCAN3	11123	CCDS254.1	Public	+	Identical	-1
chr1	NC_000001.11	SRRM1	10250	CCDS255.1	Public	+	Identical	-1
chr1	NC_000001.11	CLIC4	25932	CCDS256.1	Public	+	Identical	-1
chr1	NC_000001.11	RUNX3	864	CCDS257.1	Public	-	Identical	-1
chr1	NC_000001.11	SYF2	25949	CCDS258.1	Public	-	Identical	-1
chr1	NC_000001.11	SYF2	25949	CCDS259.1	Public	-	Identical	-1
chr1	NC_000001.11	RSRP1	57035	CCDS260.1	Public	-	Identical	-1
chr1	NC_000001.8	RSRP1	57035	CCDS261.1	Withdrawn	-	Identical	-1
chr1	NC_000001.11	RHD	6007	CCDS262.1	Public	+	Identical	-1
chr1	NC_000001.8	RHD	6007	CCDS263.1	Withdrawn	+	Identical	-1
chr1	NC_000001.11	TMEM50A	23585	CCDS264.1	Public	+	Identical	-1
chr1	NC_000001.11	MAN1C1	57134	CCDS265.1	Public	+	Identical	-1
chr1	NC_000001.11	AUNIP	79000	CCDS266.1	Public	-	Identical	-1
chr1	NC_000001.11	PAQR7	164091	CCDS267.1	Public	-	Identical	-1
chr1	NC_000001.9	C1orf215	149421	CCDS268.1	Withdrawn	-	Identical	-1
chr1	NC_000001.11	STMN1	3925	CCDS269.1	Public	-	Identical	-1
chr1	NC_000001.11	PAFAH2	5051	CCDS270.1	Public	-	Identical	-1
chr1	NC_000001.11	EXTL1	2134	CCDS271.1	Public	+	Identical	-1
chr1	NC_000001.11	SLC30A2	7780	CCDS272.1	Public	-	Identical	-1
chr1	NC_000001.11	TRIM63	84676	CCDS273.1	Public	-	Identical	-1
chr1	NC_000001.11	PDIK1L	149420	CCDS274.1	Public	+	Identical	-1
chr1	NC_000001.11	ZNF593	51042	CCDS275.2	Public	+	Identical	-1
chr1	NC_000001.11	CNKSR1	10256	CCDS276.1	Public	+	Identical	-1
chr1	NC_000001.11	CEP85	64793	CCDS277.1	Public	+	Identical	-1
chr1	NC_000001.11	SH3BGRL3	83442	CCDS278.1	Public	+	Identical	-1
chr1	NC_000001.11	ZNF683	257101	CCDS279.2	Public	-	Identical	-1
chr1	NC_000001.11	LIN28A	79727	CCDS280.1	Public	+	Identical	-1
chr1	NC_000001.11	DHDDS	79947	CCDS281.1	Public	+	Identical	-1
chr1	NC_000001.11	DHDDS	79947	CCDS282.1	Public	+	Identical	-1
chr1	NC_000001.11	HMGN2	3151	CCDS283.1	Public	+	Identical	-1
chr1	NC_000001.11	RPS6KA1	6195	CCDS284.1	Public	+	Identical	-1
chr1	NC_000001.11	ARID1A	8289	CCDS285.1	Public	+	Identical	-1
chr1	NC_000001.8	ARID1A	8289	CCDS286.1	Withdrawn	+	Identical	-1
chr1	NC_000001.11	PIGV	55650	CCDS287.1	Public	+	Identical	-1
chr1	NC_000001.11	SFN	2810	CCDS288.1	Public	+	Identical	-1
chr1	NC_000001.11	GPN2	54707	CCDS289.1	Public	-	Identical	-1
chr1	NC_000001.11	GPATCH3	63906	CCDS290.1	Public	-	Identical	-1
chr1	NC_000001.11	NR0B2	8431	CCDS291.1	Public	-	Identical	-1
chr1	NC_000001.11	NUDC	10726	CCDS292.1	Public	+	Identical	-1
chr1	NC_000001.11	KDF1	126695	CCDS293.1	Public	-	Identical	-1
chr1	NC_000001.11	TENT5B	115572	CCDS294.2	Public	-	Identical	-1
chr1	NC_000001.11	SLC9A1	6548	CCDS295.1	Public	-	Identical	-1
chr1	NC_000001.11	WDTC1	23038	CCDS296.1	Public	+	Identical	-1
chr1	NC_000001.11	TMEM222	84065	CCDS297.2	Public	+	Identical	-1
chr1	NC_000001.11	SYTL1	84958	CCDS298.1	Public	+	Identical	-1
chr1	NC_000001.11	MAP3K6	9064	CCDS299.1	Public	-	Identical	-1
chr1	NC_000001.11	FCN3	8547	CCDS300.1	Public	-	Identical	-1
chr1	NC_000001.11	FCN3	8547	CCDS301.1	Public	-	Identical	-1
chr1	NC_000001.11	CD164L2	388611	CCDS302.1	Public	-	Identical	-1
chr1	NC_000001.11	GPR3	2827	CCDS303.1	Public	+	Identical	-1
chr1	NC_000001.11	WASF2	10163	CCDS304.1	Public	-	Identical	-1
chr1	NC_000001.11	FGR	2268	CCDS305.1	Public	-	Identical	-1
chr1	NC_000001.11	IFI6	2537	CCDS306.1	Public	-	Identical	-1
chr1	NC_000001.11	IFI6	2537	CCDS307.1	Public	-	Identical	-1
chr1	NC_000001.11	IFI6	2537	CCDS308.1	Public	-	Identical	-1
chr1	NC_000001.11	FAM76A	199870	CCDS309.1	Public	+	Identical	-1
chr1	NC_000001.11	STX12	23673	CCDS310.1	Public	+	Identical	-1
chr1	NC_000001.11	PPP1R8	5511	CCDS311.1	Public	+	Identical	-1
chr1	NC_000001.11	PPP1R8	5511	CCDS312.1	Public	+	Identical	-1
chr1	NC_000001.11	PPP1R8	5511	CCDS313.1	Public	+	Identical	-1
chr1	NC_000001.11	RPA2	6118	CCDS314.1	Public	-	Identical	-1
chr1	NC_000001.11	XKR8	55113	CCDS315.1	Public	+	Identical	-1
chr1	NC_000001.11	EYA3	2140	CCDS316.1	Public	-	Identical	-1
chr1	NC_000001.8	EYA3	2140	CCDS317.1	Withdrawn	-	Identical	-1
chr1	NC_000001.11	PTAFR	5724	CCDS318.1	Public	-	Identical	-1
chr1	NC_000001.11	ATP5IF1	93974	CCDS319.1	Public	+	Identical	-1
chr1	NC_000001.11	ATP5IF1	93974	CCDS320.1	Public	+	Identical	-1
chr1	NC_000001.11	SESN2	83667	CCDS321.1	Public	+	Identical	-1
chr1	NC_000001.11	MED18	54797	CCDS322.1	Public	+	Identical	-1
chr1	NC_000001.11	RCC1	1104	CCDS323.1	Withdrawn	+	Identical	-1
chr1	NC_000001.11	TRNAU1AP	54952	CCDS324.1	Public	+	Identical	-1
chr1	NC_000001.11	RAB42	115273	CCDS325.1	Public	+	Identical	-1
chr1	NC_000001.11	TAF12	6883	CCDS326.1	Public	-	Identical	-1
chr1	NC_000001.11	GMEB1	10691	CCDS327.1	Public	+	Identical	-1
chr1	NC_000001.11	GMEB1	10691	CCDS328.1	Public	+	Identical	-1
chr1	NC_000001.11	OPRD1	4985	CCDS329.1	Public	+	Identical	-1
chr1	NC_000001.11	EPB41	2035	CCDS330.1	Public	+	Identical	-1
chr1	NC_000001.11	EPB41	2035	CCDS331.1	Public	+	Identical	-1
chr1	NC_000001.11	EPB41	2035	CCDS332.1	Withdrawn, inconsistent annotation	+		-1
chr1	NC_000001.11	SRSF4	6429	CCDS333.1	Public	-	Identical	-1
chr1	NC_000001.11	PTPRU	10076	CCDS334.1	Public	+	Identical	-1
chr1	NC_000001.11	PTPRU	10076	CCDS335.1	Public	+	Identical	-1
